Pattern,Score
CDLBREAKAWAY,5
CDLGAPSIDESIDEWHITE,5
CDL3STARSINSOUTH,4.1
CDLSEPARATINGLINES,4
CDLMORNINGSTAR,3.5
CDLMORNINGDOJISTAR,2.8
CDLHARAMI,2.6
CDL3OUTSIDE,2.4
CDLCOUNTERATTACK,2.2
CDLBELTHOLD,2.1
CDLSHORTLINE,2
CDLHARAMICROSS,2
CDLHOMINGPIGEON,1.9
CDLMATCHINGLOW,1.7
CDLCLOSINGMARUBOZU,1.4
CDLMARUBOZU,1.3
CDLINVERTEDHAMMER,1.3
CDLLONGLINE,1.2
CDLGRAVESTONEDOJI,1.1
CDLENGULFING,1.1
CDLRICKSHAWMAN,0.8
CDLLONGLEGGEDDOJI,0.8
CDLHAMMER,0.7
CDLHIGHWAVE,0.6
CDLDOJISTAR,0.6
CDLHIKKAKEMOD,0.6
CDLDOJI,0.5
CDL3INSIDE,0.4
CDLSPINNINGTOP,0.4
CDLTAKURI,0.4
CDLDRAGONFLYDOJI,0.4
CDLUNIQUE3RIVER,0.3
CDLSTICKSANDWICH,0.2
CDLLADDERBOTTOM,0.2
CDLTRISTAR,0.2
CDLCONCEALBABYSWALL,0.1
CDLHIKKAKE,0.1
CDLTASUKIGAP,0.1
CDLXSIDEGAP3METHODS,0.1
CDL3LINESTRIKE,0.1
CDLPIERCING,0
