Method Name,Number of Bells,Plain Lead,Call Row,Bob,Single
Whole Pull Plain Hunt,3,3.123.1.123.3.123.1.123.3.123.1.123,0,,
Shipping Forecast,3,3.1.1.3.1.3.1.3.1.3.1.3.1.3.3.1.3.1,0,,
Stedman,3,"3,&1.3.1|3,&3.1.3<4",0,,
Stedman,4,"X,&14.34.14|X,&34.14.34<4",0,,
Treble Bob,4,"&XXX14XXX14,14",0,,
Treble Bob,6,"&XXX16XXX16XXX16,16",0,,
Treble Bob,8,"&XXX18XXX18XXX18XXX18,18",0,,
Cloister,5,"&3.1.5,1",0,,
Cloister,7,"&3.1.7,1",0,,
Cloister,9,"&3.1.9,1",0,,
Cloister,11,"&3.1.E,1",0,,
