Method Name,Number of Bells,Plain Lead,Call Row,Bob,Single
Erin,4,"x,&34.14.34",0,,
Erin,5,"5,&3.1.3",4,,345
Erin,7,"7,&3.1.3",1,5,567
Erin,9,"9,&3.1.3",1,7,789
Erin,11,"E,&3.1.3",1,9,90E
Erin,13,"A,&3.1.3",1,E,ETA
Erin,15,"C,&3.1.3",1,A,ABC
Stedman,5,"5,&1.3.1|5,&3.1.3<4",4,,145|345
Stedman,7,"7,&1.3.1|7,&3.1.3<4",1,5|5,567|567
Stedman,9,"9,&1.3.1|9,&3.1.3<4",1,7|7,789|789
Stedman,11,"E,&1.3.1|E,&3.1.3<4",1,9|9,90E|90E
Stedman,13,"A,&1.3.1|A,&3.1.3<4",1,E|E,ETA|ETA
Stedman,15,"C,&1.3.1|C,&3.1.3<4",1,A|A,ABC|ABC
Original,4,x14,0,,
Original,5,5.1,0,3,345
Original,6,x16,0,14,1456
Original,7,7.1,1,5,567
Original,8,x18,0,16,1678
Original,9,9.1,1,7,789
Original,10,x10,0,18,1890
Original,11,E.1,1,9,90E
Original,12,x1T,0,10,10ET
