Method Name,Number of Bells,Plain Lead,Call Row,Bob,Single
Yeading Surprise,8,"&34x38.16x56x36x34x38.16x56.18,18",0,14,
York Surprise,8,"&x38x14x12x38.14x14.38.14x14.38,12",0,14,
Yorkshire Surprise,8,"&x38x14x58x16x12x38x14x78,12",0,14,
Bristol Surprise,10,"&x50x14.50x50.36.14x70.58.16x16.70x16x10,10",0,14,
Cambridge Surprise,10,"&x30x14x1250x36x1470x58x16x70x18x90,12",0,14,
Clyde Surprise,10,"&36x56.14.50x50.36x14x30.16x16.30.16x16.30,10",0,14,
Henleaze Surprise,10,"&x50x14.50x50.36.14x70.58x16x70x16x90,10",0,14,
Kent Treble Bob,10,"&34x34.10x12x10x12x10x12x10x12x10,10",0,14,
Lincolnshire Surprise,10,"&x30x14x50x16x70x18x16x70x58x90,12",0,14,
Lockington Surprise,10,"&34x50.14x12x30.14x12.30.16x12.30.16x12.30,10",0,14,
London No.3 Surprise,10,"&30x30.14x12x30.14x14.50.16x16.70.14.58.14.90,12",0,14,
Oxford Treble Bob,10,"&x34x10x12x10x12x10x12x10x12x10,10",0,14,
Pudsey Surprise,10,"&x50x16x1270x38x14x50x16x70x18x90,12",0,14,
Rutland Surprise,10,"&x30x14x50x16x70x18x36x50x16x30,12",0,14,
Superlative No.2 Surprise,10,"&x38x1478x70x38x1470x38x14x3470x38x90,12",0,14,
Triton Delight,10,"&30x30.14x12x10x12x50.14x14.70.16x18.90,12",0,14,
York Surprise,10,"&x30x14x12x30.14x14.30.14x14.30.14x14.30,12",0,14,
Yorkshire Surprise,10,"&x30x14x50x16x1270x38x14x50x16x90,12",0,14,
Avon Delight,12,"&x5Tx14.5Tx5T.30.14x70.1T.36x9T.30.18x18.9Tx18x1T,1T",0,14,
Bristol Surprise,12,"&x5Tx14.5Tx5T.36.14x7T.58.16x9T.70.18x18.9Tx18x1T,1T",0,14,
Cambridge Surprise,12,"&x3Tx14x125Tx36x147Tx58x169Tx70x18x9Tx10xET,12",0,14,
Kent Treble Bob,12,"&34x34.1Tx12x1Tx12x1Tx12x1Tx12x1Tx12x1T,1T",0,14,
Lincolnshire Surprise,12,"&x3Tx14x5Tx16x7Tx18x9Tx10x18x9Tx70xET,12",0,14,
Littleport Little Surprise,12,"&x5Tx14.5Tx5T.36.14x14.5Tx14x18,1T",0,14,
Londinium Surprise,12,"&3Tx3T.14x12x3T.14x14.5T.16x16.5T.16x18.9T.18x18.9T,12",0,14,
Newgate Surprise,12,"&3Tx3T.14x12x3T.14x14.5T.16x16.7T.14.58.14.9T.14x14.9T,12",0,14,
Orion Surprise,12,"&36x7T.18x9T.50.36.14x1470.5T.16x9T.30.18x14.3T.50.14x1T,1T",0,14,
Oxford Treble Bob,12,"&x34x1Tx12x1Tx12x1Tx12x1Tx12x1Tx12x1T,1T",0,14,
Rigel Surprise,12,"&36x7T.18x9T.50.36.14x1470.5T.14.36.9T.10.58x16.7T.16.70.16.ET,1T",0,14,
Strathclyde Surprise,12,"&36x56.14.5Tx5T.36x14x3T.16x16.3T.16x16.3T.16x16.3T,1T",0,14,
Superlative Surprise,12,"&x30x14x5Tx36x1470x58x369Tx70x18x9Tx30xET,12",0,14,
Yorkshire Surprise,12,"&x3Tx14x5Tx16x127Tx38x149Tx50x16x7Tx18xET,12",0,14,
Zanussi Surprise,12,"&x5Tx14.5Tx12.3T.14x12.5T.16x16.7T.58x18.9Tx18x9T,1T",0,14,
