Method Name,Number of Bells,Plain Lead,Call Row,Bob,Single
Allendale Surprise,6,"&x34x14x12x36.12x12.36,12",0,14,
Alnwick Surprise,6,"&34x36.14x12x36.14x14.36,12",0,14,
Annable's London Surprise,6,"&x34x14x12x36x14x36,16",0,14,
Bacup Surprise,6,"&x34x14x12x36.12x14.56,16",0,14,
Bamborough Surprise,6,"&x34x14x12x36.12x14.56,12",0,14,
Bellfast Surprise,6,"&34x56.14x12x36.14x12.36,16",0,14,
Berwick Surprise,6,"&x36x14x12x36.14x34.56,16",0,14,
Beverley Surprise,6,"&x36x14x12x36.14x34.56,12",0,14,
Bourne Surprise,6,"&x36x14x12x36x34x36,12",0,14,
Braintree Delight,6,"&x34x14x12x16.34x34.16,16",0,14,
Cambridge Surprise,6,"&x36x14x12x36x14x56,12",0,14,
Canterbury Delight,6,"&36x36.14x12x16.34x14.36,12",0,14,
Canterbury Surprise,6,"&34x36.14x12x36.14x14.36,16",0,14,
Capel Treble Bob,6,"&x34x16x12x16.34x12.56,16",0,14,
Carlisle Surprise,6,"&34x36.14x12x36x14x56,12",0,14,
Chester Surprise,6,"&34x36.14x12x36.14x34.56,12",0,14,
Coldstream Surprise,6,"&36x36.14x12x36.12x12.36,12",0,14,
College Bob IV Delight,6,"&x34x14x12x16x34x56,12",0,14,
College Exercise Treble Bob,6,"&x34x16x12x16x34x56,12",0,14,
Combermere Delight,6,"&36x36.14x12x16x12x56,12",0,14,
Cunecastre Surprise,6,"&36x36.14x12x36x14x36,12",0,14,
Dover Delight,6,"&x36x16x12x36x34x16,16",0,14,
Durham Surprise,6,"&x36x14x12x36.14x34.16,12",0,14,
Ely Delight,6,"&x36x16x12x36x12x16,12",0,14,
Francis Genius Delight,6,"&x36x16x12x36x14x16,12",0,14,
Hexham Surprise,6,"&x36x14x12x36.14x12.56,16",0,14,
Hull Surprise,6,"&x36x14x12x36x34x36,16",0,14,
Humber Delight,6,"&x34x14x12x16.34x14.36,16",0,14,
Ipswich Surprise,6,"&x36x14x12x36x14x16,12",0,14,
Kelso Surprise,6,"&36x36.14x12x36.12x14.56,12",0,14,
Kent Treble Bob,6,"&34x34.16x12x16x12x16,16",0,14,
Kentish Delight,6,"&34x34.16x12x36.14x12.56,16",0,14,
Killamarsh Treble Bob,6,"&34x34.16x12x16x34x36,16",0,14,
Kingston Treble Bob,6,"&x34x16x12x16.34x34.56,16",0,14,
Lightfoot Surprise,6,"&x34x14x12x36.14x14.36,12",0,14,
Lincoln Surprise,6,"&36x36.14x12x36x12x36,12",0,14,
London Scholars' Pleasure Treble Bob,6,"&x34x16x12x16x34x56,16",0,14,
London Surprise,6,"&36x36.14x12x36.14x14.36,12",0,14,
Morning Exercise Delight,6,"&x34x16x12x36x14x56,16",0,14,
Morning Star Treble Bob,6,"&x34x16x12x16x34x16,12",0,14,
Morpeth Surprise,6,"&34x36.14x12x36.14x34.16,16",0,14,
Munden Surprise,6,"&34x36.14x12x36.14x12.56,12",0,14,
Netherseale Surprise,6,"&x34x14x12x36x14x36,12",0,14,
Newcastle Surprise,6,"&34x36.14x12x36.14x34.16,12",0,14,
Norfolk Surprise,6,"&x36x14x12x36x14x16,16",0,14,
Northumberland Surprise,6,"&34x36.14x12x36x14x16,12",0,14,
Norwich Surprise,6,"&x34x14x12x36x34x16,16",0,14,
Old Oxford Delight,6,"&x34x14x12x16x12x56,12",0,14,
Oswald Delight,6,"&34x34.16x12x36x14x56,16",0,14,
Oxford Treble Bob,6,"&x34x16x12x16x12x16,16",0,14,
Primrose Surprise,6,"&x36x14x12x36x14x56,16",0,14,
Rossendale Surprise,6,"&x34x14x12x36.14x14.36,16",0,14,
Sandal Treble Bob,6,"&x34x16x12x16x12x56,16",0,14,
Sandiacre Surprise,6,"&34x36.14x12x36x34x36,12",0,14,
Snowdon Treble Bob,6,"&34x34.16x12x16.34x12.36,16",0,14,
Southwark Delight,6,"&36x36.14x12x16x14x36,12",0,14,
St Albans Delight,6,"&x34x14x12x16x34x56,16",0,14,
Stamford Surprise,6,"&x34x14x12x36.14x34.16,16",0,14,
Surfleet Surprise,6,"&x36x14x12x36.14x12.56,12",0,14,
Vale Royal Delight,6,"&36x36.14x12x16x34x56,12",0,14,
Warkworth Surprise,6,"&x34x14x12x36.14x12.36,16",0,14,
Wearmouth Surprise,6,"&x34x14x12x36.14x34.16,12",0,14,
Wells Surprise,6,"&36x36.14x12x36.14x34.16,12",0,14,
Westminster Surprise,6,"&x34x14x12x36x12x36,12",0,14,
Whitley Surprise,6,"&34x36.14x12x36x14x16,16",0,14,
Woodbine Delight,6,"&x34x14x12x16x12x16,16",0,14,
Wooler Surprise,6,"&34x36.14x12x36x34x36,16",0,14,
Wragby Delight,6,"&x34x14x12x16.34x34.56,16",0,14,
York Surprise,6,"&x36x14x12x36.14x14.36,12",0,14,
Ashtead Surprise,8,"&x58x16x56x36x34x38x14x78,12",0,14,
Belfast Surprise,8,"&34x58.14x12x38.12x14.38.16x12.38,18",0,14,
Bristol Surprise,8,"&x58x14.58x58.36.14x14.58x14x18,18",0,14,
Buckfastleigh Surprise,8,"&34x38.14x58x36x14x58.16x56.18,18",0,14,
Cambridge Surprise,8,"&x38x14x1258x36x14x58x16x78,12",0,14,
Cassiobury Surprise,8,"&x58x16x12x36x12x58x14x18,12",0,14,
Caterham Surprise,8,"&36x56.14.58x58.36x34.12.58.16x16.58,18",0,14,
Chertsey Surprise,8,"&34x38.16x56x38.14x12.38x12.36.18,18",0,14,
Chesterfield Surprise,8,"&x38x14x58x16x14x58.14x14.38,12",0,14,
Claybrooke Surprise,8,"&38x58.14x58x38.14x14.58x36.14.78,12",0,14,
Colnbrook Surprise,8,"&38x58.16x12x38.14x14.38.16x16.38,12",0,14,
Cornwall Surprise,8,"&x56x14x56x38x14x58x14x58,18",0,14,
Cray Surprise,8,"&x56x14x56x36x34x58x34x18,12",0,14,
Dorchester Surprise,8,"&x58x16x12x38.14x14.38x12x78,12",0,14,
Double Dublin Surprise,8,"&x56x14.56x58.36.14x34.58x34x18,18",0,14,
Ealing Surprise,8,"&x58x14x56x36x14x58x14x58,12",0,14,
Essex Surprise,8,"&x58x14.58x58.16x14x38.14x14.58,18",0,14,
Glasgow Surprise,8,"&36x56.14.58x58.36x14x38.16x16.38,18",0,14,
Harrogate Surprise,8,"&x58x16x56x36.14x12.38x12x78,12",0,14,
Ipswich Surprise,8,"&x38x14x58x36x34x58x16x38,12",0,14,
Jersey Surprise,8,"&x58x16x12x16x14x58x36x58,12",0,14,
Kent Treble Bob,8,"&34x34.18x12x18x12x18x12x18,18",0,14,
Lessness Surprise,8,"&x38x14x56x16x12x58x14x58,12",0,14,
Lincoln Surprise,8,"&x58x16x12x38x14x58.16x16.78,12",0,14,
Lincolnshire Surprise,8,"&x38x14x58x16x14x58x36x78,12",0,14,
Lindum Surprise,8,"&x36x14x58x16x14x38x14x58,12",0,14,
London Surprise,8,"&38x38.14x12x38.14x14.58.16x16.58,12",0,14,
Malpas Surprise,8,"&34x58.14x58x36x14x58.14x14.78,18",0,14,
Moulton Surprise,8,"&x58x14x12x16x12x58.16x16.78,12",0,14,
Newcastle Surprise,8,"&38x58.14x12x38x14x58.14.36x78,12",0,14,
Newlyn Surprise,8,"&36x38.14x58x16x14x58.16x36.18,12",0,14,
Northampton Surprise,8,"&x34.58.14x58x38.14x14.58x14x58,12",0,14,
Oxford Treble Bob,8,"&x34x18x12x18x12x18x12x18,18",0,14,
Preston Surprise,8,"&36x56.14.58x58.16x34x58x12x18,12",0,14,
Pudsey Surprise,8,"&x58x16x12x38x14x58x16x78,12",0,14,
Richmond Surprise,8,"&38x38.14x12x38.14x14.38x36x18,12",0,14,
Rutland Surprise,8,"&x38x14x58x16x14x38x34x18,12",0,14,
Sonning Surprise,8,"&38x38.16x56x36.14x12.38.16x56.38,12",0,14,
Superlative Surprise,8,"&x36x14x58x36x14x58x36x78,12",0,14,
Sussex Surprise,8,"&38x58.14x58x36.14x14.58.16x16.58,12",0,14,
Tavistock Surprise,8,"&x34x16x56x38x14x58x16x78,18",0,14,
Uxbridge Surprise,8,"&x38x14x56x16x34x58x14x58,12",0,14,
Watford Surprise,8,"&x58x16x58x36x14x58x34x18,12",0,14,
Wembley Surprise,8,"&x58x16x12x36x14x38x16x38,12",0,14,
Whalley Surprise,8,"&58x58.14x58x16x34x38.56x16.58,12",0,14,
Willesden Surprise,8,"&38x58.16x12x36.14x14.38x14x58,12",0,14,
